pool_id,total_stakes,total_rewards
186,5225704290756294,2986400490313
187,3235756467360170,1892720036610
188,8261856103281660,4620112290352
192,1479717489312,6551684361
196,233832262949382,362069349371
197,19307327577008208,13790372763504
198,1392147333579332,909101510512
199,9426536417217105,6933213085248
202,113716111945387955,69637187825324
204,1592408552514340,705590148824
205,33691151308448816,21485937843937
206,14599272220864954,11549516053728
207,31076899352879130,24776928009247
208,292139501843000,460964298964
209,7189504641892005,5750061319587
211,59261581056226500,43723603234938
212,26801105085400159,18698718569650
215,9419832240815398,7430982655838
216,29922022435003188,18360421035294
217,421885363748,3639437545
220,28448536121308926,20848390609530
226,28064189056756704,19679520584276
227,3981215710620226,2128388224252
229,1180000000880176,1195352739945
230,71327512150255269,50497206652064
231,24885781384360858,16982573700478
234,38657685812694910,32968698138480
236,875333030471140,407412405708
237,7036212045995652,4894448270844
242,464295458087854,489349404144
246,2069986978830915,1245256222230
247,233496680946210,75033289105
248,12972642730368240,7579691539398
249,7742161848799847,5465886419574
253,2196478454831384,1266493476012
254,40116288038342820,26107353320140
256,18883076460294942,16956358839342
257,3267844673651768,1641700399944
258,908248341963074,1103468340918
260,7099680709594516,4844529690205
261,2033097285446598,1967647460850
265,378536816849746,317905553946
268,2442148911097545,2463187810407
270,117249361150987680,66355638358867
271,26713233383847818,18327135462552
274,1999002994302000,1118101277184
275,38754823686104084,26207456205960
276,196866371689010784,115765907112663
278,118075351243128,120139379008
279,907454150595195,881316989300
284,122392343700129,139751640128
285,2603166915200760,2146665886487
286,481298764952040,280304040416
289,3740599279103274,2675779737700
295,2034387205122002,1936353483750
298,4357518265304961,2210401245540
299,9594991302572000,7636383321164
300,129337261047748,38597521201
301,251324642802599583,164974942204616
302,7497604033410222,5542058285616
303,11036201437333590,10187884620000
306,70306098744600,45867884013
307,26350943730840,22586625575
308,12514999233600,25479237490
310,13834942356470451,9704070604980
311,27285044646139875,15793015897095
312,38889692830185930,34912997358912
313,120937377067270,131046064800
315,2648307173338695,1808598999075
316,218449358266987848,141595297315360
317,38635975009674,16776964612
319,21975781646384,11662983216
321,579589890340104,470983054857
322,201193895848640,123914839570
324,243551998666047,187977152154
326,393837155286967,426682411128
327,2075277163382496,868538732788
328,29440810842849,67722130536
329,11692219767453891,10796550561333
332,23661634109236632,12412761792431
333,772500124195920,437118576840
334,27707882040510438,22467047506184
338,183248543821566,51079567770
339,80507012241448180,64036918674963
341,253246099609216,42953995498
346,4977484379417225,2666591188218
347,9200431626526869,5940976396446
350,104716554054613668,99879991196960
351,323584844027980,218467804780
354,589645395192,10190641020
355,464284455530200,619419867468
356,16447950985062080,11351335446324
357,10938079723359516,4083973245702
360,226266355598274368,109734399780878
363,72171037271937752,47412876369474
364,48228272080429,37160711604
365,114085824944616,146111813600
368,211328299902094,262271816280
372,96512852403058735,73140097662148
374,429284401003472,299976533487
381,104615303964333057,78252349373325
388,2735539476317486,1621253277827
393,404825879308158,227547349744
394,2811232693407168,1730202087834
396,53226656895759200,28025705101592
399,12876951635776448,8286423646096
401,10788722375557960,9843529182890
406,8439355117018,10194055312
410,17089020513422,10926508890
411,5764251727543424,3501573049280
415,62049629111046,22573183355
418,33912583789404380,19327682850000
431,8258563724789235,7442635474818
432,207887636212940472,129871116688170
445,123289039192367130,75675356190639
447,846029261016240,663983076129
449,465598829913132,440919874505
451,78771490238220,91835979522
455,967000898905560,1066317452780
456,5003842380939,8739948408
460,573765163629295,282757268151
465,48955393724600803,28329774731976
466,298952422760538,40184991330
467,27507828618749700,23708584836828
468,179306117688302756,113986102437942
475,19461055578444,14571276460
481,305043086363016,214234498506
483,182892549264847245,129665189636619
485,35548422546900,77156942822
487,805947743359365,135505172724
493,28832954615200189,15884493340674
495,36574926627608025,27993656661828
497,10716657773757,9465590771
498,151161982613,5500000000
499,114020011221059466,79017897687552
500,154404811450692,34974845424
504,1223813292638400,404002781885
506,55013495222247,46675417056
509,52825125634517972,44093800871493
517,2301535205819576,2050899809144
522,95234205088384615,53119466573625
524,105345535949236,99032533108
526,31092332461664,46644941824
528,49942881782161747,32515541118200
530,39067211436803260,34266217734342
531,60554744028122295,33439243194122
556,5025781310413453,2971111184111
559,1487516738595,3640451870
561,5500059250966405,3737734034426
568,56563072569611109,50793141029286
571,6702450239247900,3008172440832
572,87306546657576,76440223083
576,20029246618985319,12625863408402
577,919162658683632,786211782840
582,312645758088714,166336861920
584,3459572051846838,2870582848200
587,364866692507479,198714799283
590,130659274976280,172240463805
596,1163191039795860,330828565301
598,59578919118457,17476535904
601,32149023029088,21845187480
603,29921145222762,43690911540
608,37503753925978,2613816213239
614,632822026216884,327578496300
622,138356991798165,356672377530
628,137134674813063,37185223377
629,17065477381879872,16196877718140
633,2833563622728,5829288032
639,9132872139190,7280266030
647,51319766937060,22603308969
652,288057386703406,50334972288
654,568789343572710,723535465418
655,36307612285901,20382749884
666,25849950523428,34973063880
670,669282343595136,559802810112
672,18961939124572990,14979077958790
677,2549272117640495,1478239158900
679,1189960273944126,924691926147
681,5436086389582845,4011964828112
695,24698682937910,26222364252
696,47141082067027,18929287416
697,5011840848329142,3133177894085
698,8631682712981100,5759692416352
699,924386482730364,433869410164
700,2293535614785255,1172030486842
701,19975897687830500,16670337320360
704,220793769075014,128861928851
706,7726041384864,10195537352
707,107320000849568,113557934932
710,28803821691799125,15628287525344
711,51459614645822556,40500380989984
713,1136419637573536,611807094570
714,19782523757318570,16607482443288
719,830616249079552,764990174200
721,5717823258829810,4032049980894
722,25575733524888,14560296150
727,2290363594640685,1437469074330
730,1325332454435204,1192534643040
732,109676284351500,168153034126
734,118450663942826,46641212032
739,90548393337168,58973705316
740,270360111033550,227146653760
741,231799555643497127,187445026024718
744,36007109199105520,22454814769111
746,10225895457435,10194938026
751,19306752369531,16020024130
756,213918238342080,360834298275
765,437938846931990726,250790317134396
766,6488031697545200,4348927264723
771,42994498830747357,29503136084472
776,287228535585327644,282487081498160
778,24119841342147180,13212124110450
781,95995438758592,58255702192
782,129731053002076818,95146250307444
800,2338130704638798,1957404695040
801,9135144844946736,5291838065475
802,5168774784225705,2934649927820
804,429647227530210,251172210825
806,1657918997924046,995309079377
808,465203521352350,371298107600
810,296214687889308,248988117564
811,287252613060498,222778866138
814,49032855390288189,23519967398571
815,383981710673280,267917067896
816,69496614338658,71356872874
819,7055682540302300,4153118823630
820,201875263220345,343279416543
821,138659065343297730,103346266628880
822,11912216644048,5101582892
827,13397925447720,17470824324
829,3634248985199,5823589784
831,184052970220392,61154891084
832,21725917958980616,22745866508560
833,406571396989315,72087373413
848,27191240183628,14571113860
849,443964367293083,428451610580
852,2634092435178,8734467510
853,88188744671899,26985308235
858,780324818975125,844927750596
859,23878048157376,32038312944
865,209557452606800,68560501854
871,74385123891818,27665275337
872,98120901419028,69907178580
874,10204287624960,20394244486
876,3881459076233528,991763831274
877,14395816973448,8745959628
878,946604105126742,651872244160
883,949828478446860,648659929005
890,18878743181396544,13382521959034
897,266452822088475,218410564950
899,9528915605805,19658912274
909,974837127017910,672633832101
913,154840084118545124,97069413601420
914,2893433695460352,1776963287944
932,278818476810532035,183070563954112
936,3387158346832507,3898124282404
937,7436824525020,19659367035
945,1960261618136,2911508284
953,4343752073792932,3992711083180
954,354766090779339522,238718720095246
955,1997950009125280,1237384319232
957,15702184608110,26206245504
958,228526760858470,116459171830
959,234519848943205168,192232027331762
966,1771673619116436,1800461371832
967,6365679053820,8734437765
974,12038782857319883,8356108821525
975,35423727965063289,22829110468290
976,81325647694197,65508283152
981,9641665880851030,5316475238611
983,631797184027200,387401264180
986,54014284859604713,34363724102660
996,565658997816948,186889326976
999,9217089675951955,6448222026729
1011,1149955998372160,1024952807296
1014,1573524594105530,968068086210
1015,376110166611176,171043598154
1020,219968232408434,150130427807
1021,105344847556915876,64248582961160
1023,77858560684245,81598072024
1026,30601641457254,10191097252
1029,91644823053654,97568760184
1041,1832874811994072,1444748101136
1044,9437579019629649,7774092783096
1045,1107455732220585,601304536965
1046,3779570872025730,3218620825976
1065,2440415707260310,1969513258559
1068,74956088684610,113716324904
1073,84119910752950,20381740876
1075,1110806770052304,648532004274
1077,40585611535036330,25959387368616
1080,973632909839176,1052760811161
1085,82978228031289052,62601274982588
1105,1288213103090968,1258772702733
1113,9642802980456,19654023816
1118,2361263643818651,1504377087542
1121,15942928641423360,14351879122359
1123,333587613679683,200981803164
1129,143105286648360,351623839152
1131,972326902484800,820494665599
1138,10110313624840,17482589872
1141,12599443644178405,10158056823017
1161,17282135352762395,9006130670334
1168,68892182440449,42218354454
1176,11075639199484886,4359077143462
1184,15013332794331184,12734960473278
1186,124502530780116181,101150215306560
1187,13891653360,500000000
1188,140955346825557,96564351576
1190,1849853009419038,1819667471986
1196,650946721283664,378545664120
1208,25086245578677369,14833443622400
1212,1118316645125424,969747209998
1214,1171504564331700,596394605664
1216,26020748452888,34230117437
1217,38636988247802,45877555836
1220,297113750866020,198945517772
1222,173563407552402,100469168606
1223,15231012503745,49498013688
1224,125008768510000,43678129460
1227,86905621369230687,73418165593783
1229,1000000,500000000
1241,78578666820296292,48858438792878
1245,78610100340807,97589837442
1246,65000007358959,148485442134
1247,56683561086424,32026271833
1252,5479404989171412,3610563058232
1256,9970868355960300,4492227293226
1260,58801091846679,32768751270
1262,223288317791490,255593042055
1269,435045701023836,688668749330
1275,125595678735675,73272497400
1294,7057800913364,11650928252
1296,116157292663244448,63678426927447
1300,233934366249558,67699733160
1327,43125985948822,56780172579
1333,21845423888860,34132959883
1338,1073866726748232,317422805470
1343,1148321083879983,1441799994228
1347,119485622384100,105550731050
1352,2346987887735,8006931086
1358,434282006547175,248237464774
1361,315369220354225455,213899619220425
1363,5886413527612894,4290159825035
1364,76993066971540,39321640620
1365,3179676014786700,1788878568580
1372,683754293901870,559232095728
1380,43850956834806,49554346724
1382,3207438155120,7278809350
1387,142028174350463973,98707065678000
1391,825491979556100,365517108400
1392,1333010649111219,192259538592
1394,28189054547561,42233726165
1395,3232219024205454,1974490169742
1398,449309224742580,669736355770
1404,1500302030295744,602942459328
1414,31681261244183593,17361948860223
1417,381499865287312852,254743142987664
1422,32329803308049,59640273579
1425,191353985244200,467217569701
1435,155342643491148,136858062161
1436,39558063800988,43677125232
1455,38387351744182254,30040798040968
1464,6619804954231,5099916136
1466,41935649959584857,28668508935668
1467,898943501049300,503844501426
1468,4090919191978473,2574505809408
1469,4214488908966645,2167119958020
1470,8764910238069350,7061179885792
